"category_dex_number","genus_name","scientific_genus","category","family","description","id","created_date","updated_date","created_by_id","created_by","rarity","icon_url"
"95","Chrysantheme","Chrysanthemum","Blumen","Korbblütler","Gattung der Blumen","69837d18bc3003b15a787353","2026-02-04T17:08:40.369000","2026-02-04T17:08:40.369000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"94","Kerbel","Anthriscus","Blumen","Doldengewächse","Gattung der Blumen","696ccd5e7e119fdc121d918a","2026-01-18T12:09:02.694000","2026-01-18T12:09:02.694000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"37","Waldrebe","Clematis","Sträucher","Hahnenfußgewächse","Gattung der Sträucher","694be2f05edd3aa8e1cec5e7","2025-12-24T12:56:16.777000","2025-12-24T12:56:16.777000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"93","Meerkohl","Crambe","Blumen","Kreuzblütler","Gattung der Blumen","694a9a64e3aff1d75b26086c","2025-12-23T13:34:28.853000","2025-12-23T13:34:28.853000","68f74de059737140aeca0a36","oxbenmox@googlemail.com","",""
"92","Fenchel","Foeniculum","Blumen","Korbblütler","Gattung der Blumen","694a9980e32ef981cce88ac2","2025-12-23T13:30:40.324000","2025-12-23T13:30:40.324000","68f74de059737140aeca0a36","oxbenmox@googlemail.com","",""
"91","Nadelkerbel","Scandix","Blumen","Doldenblütler","Gattung der Blumen","694a995d02577cb7535bc9bb","2025-12-23T13:30:05.966000","2025-12-23T13:30:05.966000","68f74de059737140aeca0a36","oxbenmox@googlemail.com","",""
"90","Saatwucherblume","Glebionis","Blumen","Korbblütler","Gattung der Blumen","694a98cba617f95f2e3baf7f","2025-12-23T13:27:39.788000","2025-12-23T13:27:39.788000","68f74de059737140aeca0a36","oxbenmox@googlemail.com","",""
"89","Tellerkraut","Claytonia","Blumen","Portulakgewächse","Gattung der Blumen","6946d1514670a37bd66e3172","2025-12-20T16:39:45.542000","2025-12-20T16:39:45.542000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"88","Helleborus","Helleborus","Blumen","Hahnenfußgewächse","Gattung der Blumen","6946ce29d68ac2877c65c96a","2025-12-20T16:26:17.101000","2025-12-20T16:26:17.101000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"87","Rohrkolben","Typha","Blumen","Korbblütler","Gattung der Blumen","6946ccb9ef0e973a902b2021","2025-12-20T16:20:09.906000","2025-12-20T16:20:09.906000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"86","Klette","Arctium","Blumen","Korbblütler","Gattung der Blumen","69414f6c4fbd1b665f582696","2025-12-16T12:24:12.652000","2025-12-16T12:24:12.652000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"85","Karde","Dipsacus","Blumen","Dipsacaceae","Gattung der Blumen","69406bb44413bca06c42cc25","2025-12-15T20:12:36.531000","2025-12-15T20:12:36.531000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"84","Blutweiderich","Lythrum","Blumen","Weidengewächse","Gattung der Blumen","694029c2519f3729726a1f7c","2025-12-15T15:31:14.831000","2025-12-15T15:31:14.831000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"83","Möhre","Daucus","Blumen","Apiaceae","Gattung der Blumen","694010679f69fca5a1bb4c5a","2025-12-15T13:43:03.905000","2025-12-15T13:43:03.905000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"82","Flockenblume","Centaurea","Blumen","Korbblütler","Gattung der Blumen","693ff6744c5eb29a331e35c0","2025-12-15T11:52:20.380000","2025-12-15T11:52:20.380000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"81","Tulpe","Tulipa","Blumen","Liliengewächse","Gattung der Blumen","693ff5be212407dd185b5e59","2025-12-15T11:49:18.576000","2025-12-15T11:49:18.576000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"36","Zierquitte","Chaenomeles","Sträucher","Rosengewächse","Gattung der Sträucher","693d3e130451dd09dd413c3c","2025-12-13T10:21:07.586000","2025-12-13T10:21:07.586000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"80","Lerchensporn","Corydalis","Blumen","Fumariaceae","Gattung der Blumen","693c45a0e216887093b2b49f","2025-12-12T16:41:04.994000","2025-12-12T16:41:04.994000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"79","Windröschen","Anemonoides","Blumen","Hahnenfußgewächse","Gattung der Blumen","693c1f5922cd39ac9650f9f1","2025-12-12T13:57:45.169000","2025-12-12T13:57:45.169000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"78","Pestwurz","Petasites","Blumen","Korbblütler","Gattung der Blumen","693c0b6c3f8209347e228caa","2025-12-12T12:32:44.688000","2025-12-12T12:32:44.688000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
"77","Krokus","Crocus","Blumen","Schwertliliengewächse","Gattung der Blumen","693bf6fa9b6a0b0ccabaf240","2025-12-12T11:05:30.342000","2025-12-12T11:05:30.342000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","",""
