"quest_number","title","description","requirement","xp_reward","category","difficulty","required_discoveries","unlocked_at_level","prerequisite_quest_number","id","created_date","updated_date","created_by_id","created_by","reward_name","targets","targets_operator"
"13","Symbiose","Entdecke 75 verschiedene Gattungen, sämtlicher Pflanzenfamilien","75 Gattungen entdecken","250","Alle","Schwer","75","5","12","68f40ee84333a44289288dcf","2025-10-18T22:04:24.629000","2025-11-20T13:49:48.105000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","",""
"12","Pflanzen-Flüsterer","Entdecke 30 unterschiedliche Gattungen","30 Gattungen entdecken","150","Alle","Mittel","30","2","11","68f40e5731871f2d37a73d3b","2025-10-18T22:01:59.424000","2025-10-18T22:01:59.424000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","",""
"11","Natur-Forscher","Entdecke 15 verschiedene Gattungen","15 Gattungen entdecken","50","Alle","Leicht","15","2","1","68f40dc7b8a2039ea64c3cf5","2025-10-18T21:59:35.892000","2025-10-18T21:59:49.612000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","",""
"10","Dendrologe","Finde 20 verschiedene Strauch-Gattungen","20 Sträucher entdecken","250","Sträucher","Mittel","20","5","7","68f40d7063c6f1e415157d36","2025-10-18T21:58:08.532000","2025-10-18T21:58:08.532000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","",""
"9","Förster","Finde 20 verschiedene Baum-Gattungen","20 Bäume entdecken","250","Bäume","Schwer","20","5","6","68f40c8a13dbb68545dabb1f","2025-10-18T21:54:18.322000","2025-10-18T21:57:12.197000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","",""
"8","Floristik Meister","Finde 20 verschiedene Blumen-Gattungen","20 Blumen entdecken","250","Blumen","Schwer","20","5","5","68f40be189e5176dc7531944","2025-10-18T21:51:29.670000","2025-10-18T21:51:29.670000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","",""
"7","Sträucher Strolch","Finde 10 verschiedene Strauch-Gattungen","10 Sträucher entdecken","","Sträucher","Mittel","10","","4","68f40b8a938b07ec246d868f","2025-10-18T21:50:02.845000","2026-01-25T21:18:28.729000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","background_bush","","UND"
"6","Wald Wanderer","Finde 10 verschiedene Baum-Gattungen","10 Bäume entdecken","","Bäume","Mittel","10","","3","68f40b4483b5108da568c267","2025-10-18T21:48:52.725000","2026-01-25T21:18:42","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","background_forest","","UND"
"5","Pollenschwärmer","Finde 10 verschiedene Blumen-Gattungen","10 Blumen oder Kräuter entdecken","","Blumen","Mittel","10","","2","68f40ae195791610882e5be5","2025-10-18T21:47:13.677000","2026-01-25T21:18:55.119000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","background_flowers","","UND"
"4","Knick-Kind","Finde 5 verschiedene Strauch-Gattungen","5 Sträucher entdecken","","Sträucher","Leicht","5","","1","68f40a59b3d4f68cb98a8d2b","2025-10-18T21:44:57.738000","2026-01-25T21:18:07.935000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","","UND"
"1","Erste Schritte","Entdecke deine erste Pflanze in der Natur","1 Gattung entdecken","","Alle","Leicht","1","","","68ed837113f40fd1ff9edc7c","2025-10-13T22:55:45.762000","2026-01-25T21:17:22.825000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","background_colors","","UND"
"3","Baum-Kundler","Finde 5 verschiedene Baum-Gattungen","5 Bäume entdecken","","Bäume","Leicht","5","","1","68ed837113f40fd1ff9edc82","2025-10-13T22:55:45.762000","2026-01-25T21:18:35.576000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","","UND"
"2","Blüten-Jäger","Finde 5 verschiedene Blumen-Gattungen","5 Blumen/Kräuter entdecken","","Blumen","Leicht","5","","1","68ed837113f40fd1ff9edc87","2025-10-13T22:55:45.762000","2026-01-25T21:18:48.555000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com","","","UND"
