"name","display_name","type","value","color","image_url","requires_weekly_quests","requires_monthly_quests","requires_gifts","requires_donor","requires_referrals","requires_rare_plants","requires_quest","random_event","random_chance","id","created_date","updated_date","created_by_id","created_by"
"background_linee","Carl von Linée Hintergrund","background","https://blauzahn.eu/floralog/background_linee.png","rgb(199, 181, 140)","","","","","","","","","","","69766bc76365d5a5f14f792c","2026-01-25T19:15:19.916000","2026-01-25T20:36:14.350000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_ambassador","Botschafter Titel","title","Botschafter 🪶","","","","","","","","","","","","6976632b22fc425ee280ce59","2026-01-25T18:38:35.380000","2026-01-25T18:38:35.380000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_3days","Gewohnheitstier Titel","title","Gewohnheitstier 🦔","","","","","","","","","","","","697662d78074c24f26b1a564","2026-01-25T18:37:11.772000","2026-01-25T18:37:11.772000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_30days","Naturmensch Titel","title","Naturmensch 🐺","","","","","","","","","","","","697662b3f4010207a315e172","2026-01-25T18:36:35.788000","2026-01-25T18:36:35.788000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_7days","Siebenschläfer Titel","title","Siebenschläfer 🦥","","","","","","","","","","","","69766271c1a48013e54c33ce","2026-01-25T18:35:29.636000","2026-01-25T18:35:29.636000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_buddy","Buddy Titel","title","Buddy 🦨","","","","","","","","","","","","6976618a9f950cec189e9c80","2026-01-25T18:31:38.545000","2026-01-25T19:30:41.397000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_science","Wissenschaftler Titel","title","Wissenschaftler 🎓","","","","","","","","","","","","697660228da55da0519133d7","2026-01-25T18:25:38.601000","2026-01-25T18:25:38.601000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_pioneer","Pionier Titel","title","Pionier 🐾","","","","","","","","","","","","69765f818074c24f26b1a17e","2026-01-25T18:22:57.148000","2026-01-25T19:30:48.934000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"title_luckychild","Glückskind Titel","title","Glückskind 🍀","","","","","","","","","","","","69765f1bfdf4c4a0e78ca716","2026-01-25T18:21:15.090000","2026-01-25T19:30:56.054000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_oneplanet","Ein Planet Hintergrund ","background","https://blauzahn.eu/floralog/background_oneplanet.png","rgb(44, 52, 83)","","","","","","","","","scan","200","6975274e77462a6225ed0674","2026-01-24T20:10:54.354000","2026-01-25T00:20:06.115000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_unique","Herz des Waldes Hintergrund","background","https://blauzahn.eu/floralog/background_magicforest.png","rgb(48,58,58,1)","","","","","","","","","scan","2000","697526d26b08bf84321e1e96","2026-01-24T20:08:50.644000","2026-01-25T00:20:19.352000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_forest","Lichtungs Hintergrund","background","https://blauzahn.eu/floralog/bg_forest.png","rgb(95, 118, 82)","","","","","","","","3","","","6973e57bf152dc9b6a87ba91","2026-01-23T21:17:47.211000","2026-01-24T09:13:06.009000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_urban","Stadt Hintergrund","background","https://blauzahn.eu/floralog/bg_urban.png","rgba(143, 124, 89, 1)","","","","","false","5","","","","","6973e57bf152dc9b6a87ba93","2026-01-23T21:17:47.211000","2026-01-25T18:39:13.668000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_flowers","Blüten Hintergrund","background","https://blauzahn.eu/floralog/bg_flowers.png","rgb(181, 191, 94)","","","","","","","","2","","","6973e57bf152dc9b6a87ba94","2026-01-23T21:17:47.211000","2026-01-24T09:14:54.122000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_explorer","Forscher Hintergrund","background","https://blauzahn.eu/floralog/bg_explorer.png","rgb(118, 142, 98)","","3","","","","","","","","","6973e57bf152dc9b6a87ba90","2026-01-23T21:17:47.211000","2026-01-24T09:01:21.071000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_rare","Rote Orchideen","background","https://blauzahn.eu/floralog/bg_rare.png","rgb(31, 35, 21)","","","","","","","1","","","","6973e57bf152dc9b6a87ba95","2026-01-23T21:17:47.211000","2026-01-24T19:57:58.159000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_donor","Spender Hintergrund","background","https://blauzahn.eu/floralog/bg_donor.png","rgb(11, 28, 25)","","","","","true","","","","","","6973e57bf152dc9b6a87ba92","2026-01-23T21:17:47.211000","2026-01-25T16:34:47.630000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_bush","Gewässer Hintergrund","background","https://blauzahn.eu/floralog/bg_bush.png","rgb(89, 107, 68)","","","","","","","","4","","","6973e57bf152dc9b6a87ba8f","2026-01-23T21:17:47.211000","2026-01-24T09:18:52.608000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
"background_colors","Farbenfroher Hintergrund","background","https://blauzahn.eu/floralog/bg_colors.png","rgba(150, 174, 200, 1)","","","","","","","","1","","","6973cd6976bb3656fa642e88","2026-01-23T19:35:05.018000","2026-01-25T21:52:01.634000","68ed5acb3c768a7480fef6a0","kaji0tt@googlemail.com"
